COG_letter	COG_description	COG_category	COG_number	annotation	cluster
K	Predicted transcriptional regulator	Transcription	COG4957	K:[Transcription]	10
M	UDP-2,3-diacylglucosamine hydrolase LpxI, combines lipid X-binding and nucleotide phosphodiesterase domains	Cell wall/membrane/envelope biogenesis	COG3494	M:[Cell wall/membrane/envelope biogenesis]	10
L	Endonuclease IV	Replication, recombination and repair	COG0648	L:[Replication, recombination and repair]	10
J	Bacterial ribosome collision sensor RqcU, MutS2 ATPase family	Translation, ribosomal structure and biogenesis	COG1193	J:[Translation, ribosomal structure and biogenesis]	10
T	c-di-AMP synthetase, contains the diadenylate cyclase (DAC) domain	Signal transduction mechanisms	COG1624	T:[Signal transduction mechanisms]	10
E	Homoserine kinase	Amino acid transport and metabolism	COG0083	E:[Amino acid transport and metabolism]	10
F	Deoxyadenosine/deoxycytidine kinase	Nucleotide transport and metabolism	COG1428	F:[Nucleotide transport and metabolism]	10
H	ECF-type transporter transmembrane protein EcfT	Coenzyme transport and metabolism	COG0619	H:[Coenzyme transport and metabolism]	10
F	NCAIR mutase (PurE)-related protein	Nucleotide transport and metabolism	COG1691	F:[Nucleotide transport and metabolism]	10
K	Superfamily II DNA or RNA helicase	Transcription	COG1061	K:[Transcription]	10
H	Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)	Coenzyme transport and metabolism	COG1648	H:[Coenzyme transport and metabolism]	10
R	ATP-utilizing enzyme, PP-loop superfamily	General function prediction only	COG1606	R:[General function prediction only]	10
E	L-aminopeptidase/D-esterase	Amino acid transport and metabolism	COG3191	E:[Amino acid transport and metabolism]	10
S	Uncharacterized membrane protein	Function unknown	COG5473	S:[Function unknown]	10
H	Nitrogenase Mo-Fe protein NifD/coenzyme F430 biosynthesis subunit CfbD	Coenzyme transport and metabolism	COG2710	H:[Coenzyme transport and metabolism]	10
R	Predicted ATPase, AAA+ superfamily	General function prediction only	COG1373	R:[General function prediction only]	10
J	Seryl-tRNA(Sec) selenium transferase	Translation, ribosomal structure and biogenesis	COG1921	J:[Translation, ribosomal structure and biogenesis]	10
J	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s	Translation, ribosomal structure and biogenesis	COG1208	J:[Translation, ribosomal structure and biogenesis]	10
I	Myo-inositol-1-phosphate synthase	Lipid transport and metabolism	COG1260	I:[Lipid transport and metabolism]	10
P	Anion-transporting ATPase, ArsA/GET3 family	Inorganic ion transport and metabolism	COG0003	P:[Inorganic ion transport and metabolism]	10
O	Predicted metalloprotease (deubiquitase), contains Jab1/MPN domain metalloenzyme (JAMM) motif	Posttranslational modification, protein turnover, chaperones	COG1310	O:[Posttranslational modification, protein turnover, chaperones]	10
D	Cytoskeletal protein RodZ, contains Xre-like HTH and DUF4115 domains	Cell cycle control, cell division, chromosome partitioning	COG1426	D:[Cell cycle control, cell division, chromosome partitioning]	10
P	Rubredoxin	Inorganic ion transport and metabolism	COG1773	P:[Inorganic ion transport and metabolism]	10
J	RNA guanine methylase, includes 23S rRNA G2445 N2-methylase RlmL and tRNA-G6 N2-methylase Trm14	Translation, ribosomal structure and biogenesis	COG0116	J:[Translation, ribosomal structure and biogenesis]	10
N	Flagellar hook-capping protein FlgD	Cell motility	COG1843	N:[Cell motility]	10
C	Na+(or H+)/acetate symporter ActP	Energy production and conversion	COG4147	C:[Energy production and conversion]	10
N	Flagellin-specific chaperone FliS	Cell motility	COG1516	N:[Cell motility]	10
T	Regulator of PEP synthase PpsR, kinase-PPPase family (combines ADP:protein kinase and phosphorylase activities)	Signal transduction mechanisms	COG1806	T:[Signal transduction mechanisms]	10
F	Ribonucleotide reductase beta subunit, ferritin-like domain	Nucleotide transport and metabolism	COG0208	F:[Nucleotide transport and metabolism]	10
H	Cobyrinic acid a,c-diamide synthase	Coenzyme transport and metabolism	COG1797	H:[Coenzyme transport and metabolism]	10
M	Outer membrane translocation and assembly module TamA	Cell wall/membrane/envelope biogenesis	COG0729	M:[Cell wall/membrane/envelope biogenesis]	10
I	Long-chain fatty acid transport protein	Lipid transport and metabolism	COG2067	I:[Lipid transport and metabolism]	10
C	Cbb3-type cytochrome oxidase, subunit 1	Energy production and conversion	COG3278	C:[Energy production and conversion]	10
M	Periplasmic subunit MlaC of the ABC-type intermembrane phospholipid transporter Mla	Cell wall/membrane/envelope biogenesis	COG2854	M:[Cell wall/membrane/envelope biogenesis]	10
P	Energy-coupling factor transporter ATP-binding protein EcfA2	Inorganic ion transport and metabolism	COG1122	P:[Inorganic ion transport and metabolism]	10
M	Muramoyltetrapeptide carboxypeptidase LdcA (peptidoglycan recycling)	Cell wall/membrane/envelope biogenesis	COG1619	M:[Cell wall/membrane/envelope biogenesis]	10
H	Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase	Coenzyme transport and metabolism	COG2087	H:[Coenzyme transport and metabolism]	10
U	Autotransporter translocation and assembly protein TamB	Intracellular trafficking, secretion, and vesicular transport	COG2911	U:[Intracellular trafficking, secretion, and vesicular transport]	10
P	ABC-type sulfate transport system, permease component	Inorganic ion transport and metabolism	COG0555	P:[Inorganic ion transport and metabolism]	10
E	ATP phosphoribosyltransferase regulatory subunit HisZ	Amino acid transport and metabolism	COG3705	E:[Amino acid transport and metabolism]	10
C	Cytochrome c1	Energy production and conversion	COG2857	C:[Energy production and conversion]	10
C	Cytochrome c oxidase assembly protein Cox11	Energy production and conversion	COG3175	C:[Energy production and conversion]	10
H	Cobyric acid synthase	Coenzyme transport and metabolism	COG1492	H:[Coenzyme transport and metabolism]	10
M	Anionic cell wall polymer biosynthesis enzyme TagV/TagU,  LytR-Cps2A-Psr (LCP) family (peptidoglycan teichoic acid transferase)	Cell wall/membrane/envelope biogenesis	COG1316	M:[Cell wall/membrane/envelope biogenesis]	10
R	ABC-type uncharacterized transport system, permease component	General function prediction only	COG4137	R:[General function prediction only]	10
O	Arginyl-tRNA--protein-N-Asp/Glu arginylyltransferase	Posttranslational modification, protein turnover, chaperones	COG2935	O:[Posttranslational modification, protein turnover, chaperones]	10
M	NDP-sugar epimerase, includes UDP-N-acetylglucosamine 4,6-dehydratase EpsC	Cell wall/membrane/envelope biogenesis	COG1086	M:[Cell wall/membrane/envelope biogenesis]	10
Q	Homogentisate 1,2-dioxygenase	Secondary metabolites biosynthesis, transport and catabolism	COG3508	Q:[Secondary metabolites biosynthesis, transport and catabolism]	10
H	NaMN:DMB phosphoribosyltransferase	Coenzyme transport and metabolism	COG2038	H:[Coenzyme transport and metabolism]	10
P	Magnesium uptake protein YhiD/SapB, involved in acid resistance	Inorganic ion transport and metabolism	COG1285	P:[Inorganic ion transport and metabolism]	10
C	ABC-type Na+ efflux pump, permease component NatB	Energy production and conversion	COG1668	C:[Energy production and conversion]	10
F	Uridine kinase	Nucleotide transport and metabolism	COG0572	F:[Nucleotide transport and metabolism]	10
R	Oxidative stress-related protein YggE, contains kinase-interacting SIMPL domain	General function prediction only	COG2968	R:[General function prediction only]	10
H	Biotin transporter BioY	Coenzyme transport and metabolism	COG1268	H:[Coenzyme transport and metabolism]	10
G	2-methylcitrate dehydratase PrpD	Carbohydrate transport and metabolism	COG2079	G:[Carbohydrate transport and metabolism]	10
F	Thymidine kinase	Nucleotide transport and metabolism	COG1435	F:[Nucleotide transport and metabolism]	10
V	Beta-lactamase class A	Defense mechanisms	COG2367	V:[Defense mechanisms]	10
T	Ankyrin repeat	Signal transduction mechanisms	COG0666	T:[Signal transduction mechanisms]	10
J	tRNA-binding EMAP/Myf domain	Translation, ribosomal structure and biogenesis	COG0073	J:[Translation, ribosomal structure and biogenesis]	10
M	Membrane carboxypeptidase/penicillin-binding protein PbpC	Cell wall/membrane/envelope biogenesis	COG4953	M:[Cell wall/membrane/envelope biogenesis]	10
K	DNA-binding transcriptional regulator, LacI/PurR family	Transcription	COG1609	K:[Transcription]	11
K	DNA-binding transcriptional regulator, Lrp family	Transcription	COG1522	K:[Transcription]	11
G	Sugar phosphate permease	Carbohydrate transport and metabolism	COG2271	G:[Carbohydrate transport and metabolism]	11
K	DNA-binding transcriptional regulator, GntR family	Transcription	COG1802	K:[Transcription]	11
T	Methyl-accepting chemotaxis protein (MCP)	Signal transduction mechanisms	COG0840	T:[Signal transduction mechanisms]	11
E	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	Amino acid transport and metabolism	COG0834	E:[Amino acid transport and metabolism]	11
H	Nicotinamidase-related amidase	Coenzyme transport and metabolism	COG1335	H:[Coenzyme transport and metabolism]	11
E	Glycine/D-amino acid oxidase (deaminating)	Amino acid transport and metabolism	COG0665	E:[Amino acid transport and metabolism]	11
K	DNA-binding transcriptional regulator, MerR family	Transcription	COG0789	K:[Transcription]	11
H	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG or 23S rRNA G745 methylase RmlAII or tRNA-U5 methylase TRM9	Coenzyme transport and metabolism	COG2226	H:[Coenzyme transport and metabolism]	11
O	Periplasmic serine protease DegP/DegQ, contain C-terminal PDZ domain	Posttranslational modification, protein turnover, chaperones	COG0265	O:[Posttranslational modification, protein turnover, chaperones]	11
O	Peroxiredoxin	Posttranslational modification, protein turnover, chaperones	COG1225	O:[Posttranslational modification, protein turnover, chaperones]	11
T	Serine/threonine protein kinase, uncludes type III secretion system effector YopO	Signal transduction mechanisms	COG0515	T:[Signal transduction mechanisms]	11
R	Predicted Zn-dependent peptidase, M16 family	General function prediction only	COG0612	R:[General function prediction only]	11
K	DNA-binding transcriptional regulator, IclR family	Transcription	COG1414	K:[Transcription]	12
E	Selenocysteine lyase/Cysteine desulfurase	Amino acid transport and metabolism	COG0520	E:[Amino acid transport and metabolism]	12
U	Biopolymer transport protein ExbD	Intracellular trafficking, secretion, and vesicular transport	COG0848	U:[Intracellular trafficking, secretion, and vesicular transport]	12
E	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	Amino acid transport and metabolism	COG0115	E:[Amino acid transport and metabolism]	12
G	Phosphomannomutase	Carbohydrate transport and metabolism	COG1109	G:[Carbohydrate transport and metabolism]	12
G	Glycosyltransferase, GT2 family	Carbohydrate transport and metabolism	COG1216	G:[Carbohydrate transport and metabolism]	12
M	Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	Cell wall/membrane/envelope biogenesis	COG2148	M:[Cell wall/membrane/envelope biogenesis]	12
P	Fe2+ or Zn2+ uptake regulation protein Fur/Zur	Inorganic ion transport and metabolism	COG0735	P:[Inorganic ion transport and metabolism]	12
J	tRNA A37 methylthiotransferase MiaB	Translation, ribosomal structure and biogenesis	COG0621	J:[Translation, ribosomal structure and biogenesis]	12
M	dTDP-4-amino-4,6-dideoxygalactose transaminase	Cell wall/membrane/envelope biogenesis	COG0399	M:[Cell wall/membrane/envelope biogenesis]	12
V	ABC-type antimicrobial peptide transport system, permease component	Defense mechanisms	COG0577	V:[Defense mechanisms]	12
C	Phosphoglycolate phosphatase, HAD superfamily	Energy production and conversion	COG0546	C:[Energy production and conversion]	12
E	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component	Amino acid transport and metabolism	COG3842	E:[Amino acid transport and metabolism]	12
L	Superfamily II DNA and RNA helicase	Replication, recombination and repair	COG0513	L:[Replication, recombination and repair]	12
I	Acyl-CoA thioesterase FadM	Lipid transport and metabolism	COG0824	I:[Lipid transport and metabolism]	12
O	Thiol-disulfide isomerase or thioredoxin	Posttranslational modification, protein turnover, chaperones	COG0526	O:[Posttranslational modification, protein turnover, chaperones]	12
I	Chalcone/flavanone-binding protein YndB, AHSA1/START/SRPBCC domain	Lipid transport and metabolism	COG3832	I:[Lipid transport and metabolism]	12
M	Membrane protein involved in the export of O-antigen and teichoic acid	Cell wall/membrane/envelope biogenesis	COG2244	M:[Cell wall/membrane/envelope biogenesis]	12
Q	Imidazolonepropionase or related amidohydrolase	Secondary metabolites biosynthesis, transport and catabolism	COG1228	Q:[Secondary metabolites biosynthesis, transport and catabolism]	12
E	ABC-type amino acid transport system, permease component	Amino acid transport and metabolism	COG0765	E:[Amino acid transport and metabolism]	13
K	DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain	Transcription	COG1167	K:[Transcription]	13
E	Threonine/homoserine/homoserine lactone efflux protein	Amino acid transport and metabolism	COG1280	E:[Amino acid transport and metabolism]	13
T	Chemotaxis signal transduction protein CheW	Signal transduction mechanisms	COG0835	T:[Signal transduction mechanisms]	13
G	ABC-type sugar transport system, ATPase component MalK	Carbohydrate transport and metabolism	COG3839	G:[Carbohydrate transport and metabolism]	13
C	Flavodoxin/ferredoxin--NADP reductase	Energy production and conversion	COG1018	C:[Energy production and conversion]	13
C	NADH:flavin reductase, Old Yellow Enzyme (OYE) family	Energy production and conversion	COG1902	C:[Energy production and conversion]	13
